"類型
Type","觀光遊憩區
Scenic Spots","縣市
City/Country","113年
1月","113年
2月","113年
3月","113年
4月","113年
5月","113年
6月","113年
7月","113年
8月","113年
9月","113年
10月","113年
11月","113年
12月","113年
1月-12月",資料來源
"國家級風景特定區
National Scenic Areas","    柳營尖山埤渡假村
    Liuying Jianshanpi Resort","臺南市
Tainan City","9,436 ","16,843 ","14,952 ","18,260 ","18,727 ","16,490 ","14,929 ","12,273 ","20,650 ","17,635 ","21,398 ","20,474 ","202,067 ",西拉雅國家風景區管理處
"國家級風景特定區
National Scenic Areas","    曾文水庫
    Zengwun Dam","臺南市
Tainan City","31,434 ","30,694 ","27,304 ","28,307 ","24,778 ","22,554 ","27,208 ","19,375 ","24,282 ","26,618 ","28,775 ","40,318 ","331,647 ",西拉雅國家風景區管理處
"國家級風景特定區
National Scenic Areas","    烏山頭水庫風景區
    Wu Shan Tou Reservoir","臺南市
Tainan City","17,024 ","19,012 ","18,843 ","23,018 ","29,707 ","38,030 ","29,127 ","12,023 ","9,167 ","18,128 ","19,359 ","24,622 ","258,060 ",西拉雅國家風景區管理處
"國家級風景特定區
National Scenic Areas","    關子嶺溫泉區
    Guan Zih Ling Hot Spring  Area","臺南市
Tainan City","79,636 ","95,030 ","91,549 ","62,053 ","79,233 ","73,718 ","55,468 ","55,272 ","81,000 ","84,532 ","91,333 ","201,815 ","1,050,639 ",西拉雅國家風景區管理處
"國家級風景特定區
National Scenic Areas","    虎頭埤風景區
    Hutoubei Scenic Area","臺南市
Tainan City","30,071 ","36,460 ","26,985 ","25,700 ","27,800 ","22,213 ","18,263 ","19,439 ","25,965 ","26,043 ","29,764 ","28,244 ","316,947 ",西拉雅國家風景區管理處
"國家級風景特定區
National Scenic Areas","茂林國家風景區
Maolin National Scenic Area",,,,,,,,,,,,,,,
"國家級風景特定區
National Scenic Areas","    茂林遊憩區
    Maolin District ","高雄市
Kaohsiung City","42,538 ","30,535 ","41,035 ","37,218 ","33,121 ","31,759 ","24,057 ","2,922 ","32,250 ","33,008 ","38,706 ","19,884 ","367,033 ",茂林國家風景區管理處
"國家級風景特定區
National Scenic Areas","    寶來、不老溫泉區
    Boalai and Bulao Hot Springs Area","高雄市
Kaohsiung City","49,441 ","50,814 ","57,930 ","52,924 ","50,340 ","55,921 ","53,597 ","40,453 ","43,102 ","49,942 ","51,580 ","58,546 ","614,590 ",茂林國家風景區管理處
"國家級風景特定區
National Scenic Areas","    臺灣原住民文化園區
    Taiwan Indigenous Peoples Culture Park","屏東縣
Pingtung County","15,480 ","25,843 ","20,277 ","19,366 ","17,536 ","13,999 ","10,925 ","9,830 ","12,003 ","13,908 ","18,956 ","19,405 ","197,528 ",茂林國家風景區管理處
"國家級風景特定區
National Scenic Areas","    霧臺遊憩區
    Wutai Recreation Area","屏東縣
Pingtung County","29,668 ","37,871 ","28,660 ","24,611 ","21,461 ","24,702 ","19,503 ","15,377 ","20,512 ","16,270 ","24,238 ","22,765 ","285,638 ",茂林國家風景區管理處
"國家級風景特定區
National Scenic Areas","    涼山遊憩區
    Liangshan Recreation Area","屏東縣
Pingtung County","4,503 ","6,133 ","3,533 ","2,788 ","3,608 ","3,213 ","2,996 ",952 ,"1,936 ","1,908 ","4,318 ","4,053 ","39,941 ",茂林國家風景區管理處
"國家級風景特定區
National Scenic Areas","    禮納里部落
    Rinari Tribal Village","屏東縣
Pingtung County","7,041 ","6,199 ","7,913 ","7,489 ","7,357 ","6,231 ","6,365 ","6,758 ","6,466 ","8,833 ","21,549 ","6,885 ","99,086 ",茂林國家風景區管理處
"國家級風景特定區
National Scenic Areas","    三地門遊憩區
    Sandimen Recreation Area","屏東縣
Pingtung County","23,618 ","16,062 ","15,365 ","15,334 ","8,813 ","19,592 ","17,109 ","18,115 ","17,195 ","14,649 ","33,820 ","33,340 ","233,012 ",茂林國家風景區管理處
"國家級風景特定區
National Scenic Areas","大鵬灣國家風景區
Dapeng Bay National Scenic Area",,,,,,,,,,,,,,,
"國家級風景特定區
National Scenic Areas","    小琉球遊憩區
    Liuqiu Recreation Area","屏東縣
Pingtung County","47,829 ","73,198 ","75,639 ","105,573 ","102,751 ","133,223 ","123,481 ","109,169 ","120,890 ","83,601 ","71,439 ","56,838 ","1,103,631 ",大鵬灣國家風景區管理處
"國家級風景特定區
National Scenic Areas","    大鵬灣遊憩區
    Dapeng Bay Recreation Area","屏東縣
Pingtung County","110,444 ","129,817 ","118,536 ","137,224 ","142,961 ","125,318 ","102,654 ","106,278 ","114,854 ","133,404 ","152,861 ","140,936 ","1,515,287 ",大鵬灣國家風景區管理處
"國家級風景特定區
National Scenic Areas","澎湖國家風景區
Penghu National Scenic Area",,,,,,,,,,,,,,,
"國家級風景特定區
National Scenic Areas","    澎湖遊客中心及周邊地區
    Penghu Visitor Center","澎湖縣
Penghu County","4,517 ","6,126 ","9,421 ","14,265 ","15,933 ","14,057 ","14,468 ","10,883 ","11,633 ","10,105 ","5,024 ","2,576 ","119,008 ",澎湖國家風景區管理處
"國家級風景特定區
National Scenic Areas","    南海遊客中心及周邊地區
    South Sea Visitor Center","澎湖縣
Penghu County","12,364 ","9,861 ","40,608 ","58,031 ","94,104 ","124,196 ","107,637 ","60,613 ","52,983 ","17,178 ","13,965 ","11,035 ","602,575 ",澎湖國家風景區管理處
"國家級風景特定區
National Scenic Areas","    北海遊客中心及周邊地區
    North Sea Visitor Center","澎湖縣
Penghu County","2,783 ","2,708 ","3,819 ","11,642 ","19,233 ","23,395 ","25,888 ","14,754 ","11,482 ","2,693 ","2,941 ","2,632 ","123,970 ",澎湖國家風景區管理處
"國家級風景特定區
National Scenic Areas","    西嶼西臺遊客中心及周邊地區
    Siyu Western Fort Visitor Center and surrounding areas","澎湖縣
Penghu County",325 ,310 ,921 ,"2,333 ","3,280 ","3,227 ","3,224 ","2,385 ","1,586 ","1,453 ",761 ,454 ,"20,259 ",澎湖國家風景區管理處
"國家級風景特定區
National Scenic Areas","    小門遊憩區
    Siaomen Recreation area","澎湖縣
Penghu County","3,796 ","6,749 ","9,265 ","21,540 ","34,870 ","40,072 ","35,769 ","26,023 ","17,759 ","11,513 ","6,288 ","4,335 ","217,979 ",澎湖國家風景區管理處
"國家級風景特定區
National Scenic Areas","    綠蠵龜觀光保育中心
    Green Turtle Tourism and Conservation Center","澎湖縣
Penghu County",67 ,83 ,571 ,"1,641 ","3,417 ","5,671 ","4,504 ","2,789 ","1,427 ",694 ,104 ,59 ,"21,027 ",澎湖國家風景區管理處
"國家級風景特定區
National Scenic Areas","    七美遊憩區
    Qimei Recreation area","澎湖縣
Penghu County","1,770 ","2,435 ","7,810 ","29,575 ","50,842 ","58,432 ","47,018 ","27,385 ","20,236 ","6,418 ","1,558 ","1,337 ","254,816 ",澎湖國家風景區管理處
"國家級風景特定區
National Scenic Areas","    北寮奎壁山地質公園
    Beiliao Kuibishan Geopark","澎湖縣
Penghu County","5,075 ","5,922 ","15,803 ","54,040 ","73,552 ","80,115 ","67,107 ","35,878 ","30,487 ","15,749 ","10,603 ","4,958 ","399,289 ",澎湖國家風景區管理處
"國家級風景特定區
National Scenic Areas","    望安遊憩區
    Wang-an Recreation area","澎湖縣
Penghu County","9,515 ","7,856 ","14,493 ","22,600 ","39,136 ","40,483 ","31,737 ","23,131 ","18,640 ","8,952 ","7,477 ","5,803 ","229,823 ",澎湖國家風景區管理處
"國家級風景特定區
National Scenic Areas","馬祖國家風景區
Matsu National Scenic Area",,,,,,,,,,,,,,,
"國家級風景特定區
National Scenic Areas","    東引遊客中心
    Dongyin Visitor Center","連江縣
Lienchiang County",189 ,253 ,984 ,"3,031 ","3,772 ","3,082 ","3,321 ","2,757 ","2,720 ",775 ,387 ,319 ,"21,590 ",馬祖國家風景區管理處
"國家級風景特定區
National Scenic Areas","    莒光遊客中心
    Juguang Visitor Center","連江縣
Lienchiang County",197 ,270 ,"1,186 ","2,773 ","4,579 ","3,692 ","3,077 ","2,026 ","2,680 ","1,333 ",789 ,235 ,"22,837 ",馬祖國家風景區管理處
"國家級風景特定區
National Scenic Areas","    北竿遊客中心
    Beigan Visitor Center","連江縣
Lienchiang County","1,480 ","1,183 ","2,464 ","4,096 ","6,656 ","6,543 ","7,503 ","5,445 ","4,920 ","3,345 ","2,225 ","1,863 ","47,723 ",馬祖國家風景區管理處
"國家級風景特定區
National Scenic Areas","    南竿遊客中心
    Nangan Visitor Center","連江縣
Lienchiang County","1,229 ","1,174 ","2,303 ","3,569 ","5,246 ","4,873 ","5,981 ","5,830 ","5,115 ","3,276 ","2,348 ","1,276 ","42,220 ",馬祖國家風景區管理處
"直轄市及縣(市)級風景特定區
Municipal-level and County-level Scenic Area","烏來風景特定區
Wulai Special Scenic Area","新北市
New Taipei City","133,030 ","218,986 ","185,489 ","204,142 ","200,875 ","205,723 ","215,654 ","196,421 ","156,346 ","159,668 ","150,345 ","231,092 ","2,257,771 ",新北市政府
"直轄市及縣(市)級風景特定區
Municipal-level and County-level Scenic Area","碧潭風景特定區
Bitan Special Scenic Area","新北市
New Taipei City","127,672 ","204,650 ","183,256 ","184,074 ","240,074 ","241,474 ","239,624 ","275,656 ","227,583 ","176,430 ","151,965 ","255,722 ","2,508,180 ",新北市政府
"直轄市及縣(市)級風景特定區
Municipal-level and County-level Scenic Area","瑞芳風景特定區
Ruifang Special Scenic Area","新北市
New Taipei City","274,967 ","351,150 ","325,750 ","321,200 ","291,000 ","291,550 ","319,300 ","379,950 ","330,525 ","331,120 ","328,568 ","506,326 ","4,051,406 ",新北市政府
"直轄市及縣(市)級風景特定區
Municipal-level and County-level Scenic Area","石門水庫風景區
Shihmen Reservoir","桃園市
Taoyuan City","225,867 ","240,080 ","197,459 ","180,528 ","209,347 ","173,805 ","183,963 ","186,960 ","174,632 ","206,376 ","213,179 ","203,741 ","2,395,937 ",桃園市政府
"直轄市及縣(市)級風景特定區
Municipal-level and County-level Scenic Area","角板山遊憩區
Jiaobanshan Resort","桃園市
Taoyuan City","177,474 ","111,382 ","77,220 ","58,580 ","83,971 ","91,760 ","104,624 ","89,234 ","70,452 ","69,917 ","68,694 ","77,921 ","1,081,229 ",桃園市政府
"直轄市及縣(市)級風景特定區
Municipal-level and County-level Scenic Area","虎頭山風景特定區
Houtou Mountain Scenic Area","桃園市
Taoyuan City","323,540 ","385,615 ","337,553 ","298,541 ","323,287 ","279,646 ","270,651 ","285,503 ","261,317 ","284,401 ","282,639 ","290,650 ","3,623,343 ",桃園市政府
"直轄市及縣(市)級風景特定區
Municipal-level and County-level Scenic Area","小烏來風景特定區
Siaowulai Scenic Area","桃園市
Taoyuan City","40,370 ","41,701 ","36,295 ","28,282 ","35,908 ","45,697 ","58,803 ","48,267 ","37,941 ","35,244 ","33,863 ","37,246 ","479,617 ",桃園市政府
"直轄市及縣(市)級風景特定區
Municipal-level and County-level Scenic Area","拉拉山風景區
Lala Mountain Nature Protection ","桃園市
Taoyuan City","25,291 ","50,600 ","37,601 ","16,362 ","23,713 ","38,722 ","56,010 ","33,879 ","22,381 ","20,492 ","19,764 ","22,487 ","367,302 ",桃園市政府
"直轄市及縣(市)級風景特定區
Municipal-level and County-level Scenic Area","武荖坑風景區
Wulaokeng Scenic Area","宜蘭縣
Yilan County",827 ,0 ,"15,709 ","292,449 ","125,137 ",0 ,"8,215 ","7,408 ","5,132 ","5,501 ","1,582 ","1,690 ","463,650 ",宜蘭縣政府
"直轄市及縣(市)級風景特定區
Municipal-level and County-level Scenic Area","冬山河親水公園
Dongshan River Water Park","宜蘭縣
Yilan County","9,292 ","16,393 ","10,189 ","11,005 ","11,697 ","26,996 ","255,726 ","281,330 ","8,189 ","12,399 ","6,619 ","8,849 ","658,684 ",宜蘭縣政府
"直轄市及縣(市)級風景特定區
Municipal-level and County-level Scenic Area","五峰旗風景區
Wufongci Waterfall","宜蘭縣
Yilan County","25,600 ","27,729 ","24,501 ","23,509 ","28,386 ","25,392 ","30,523 ","21,883 ","28,346 ","26,675 ","14,639 ","17,469 ","294,652 ",宜蘭縣政府
"直轄市及縣(市)級風景特定區
Municipal-level and County-level Scenic Area","龍潭湖
Longtan Lake","宜蘭縣
Yilan County","10,816 ","9,987 ","8,780 ","11,596 ","10,120 ","8,893 ","6,870 ","5,826 ","7,187 ","11,464 ","13,041 ","14,610 ","119,190 ",宜蘭縣政府
"直轄市及縣(市)級風景特定區
Municipal-level and County-level Scenic Area","冬山河生態綠舟
Dongshan Rivere-coark","宜蘭縣
Yilan County","12,731 ","18,442 ","17,982 ","21,614 ","23,687 ","22,093 ","19,834 ","20,381 ","21,830 ","22,841 ","21,743 ","20,445 ","243,623 ",宜蘭縣政府
"直轄市及縣(市)級風景特定區
Municipal-level and County-level Scenic Area","鐵砧山
Tiehchenshan Mountain Recreation Area","臺中市
Taichung City","25,953 ","35,806 ","33,892 ","30,058 ","29,296 ","26,231 ","21,875 ","26,015 ","24,908 ","23,474 ","22,179 ","20,077 ","319,764 ",臺中市政府
"直轄市及縣(市)級風景特定區
Municipal-level and County-level Scenic Area","東埔溫泉
Dongpu Hot Springs","南投縣
Nantou County","12,450 ","10,770 ","14,525 ","17,441 ","17,584 ","12,845 ","20,668 ","21,595 ","14,028 ","17,924 ","17,763 ","8,540 ","186,133 ",南投縣政府
"直轄市及縣(市)級風景特定區
Municipal-level and County-level Scenic Area","蘭潭
Lantan","嘉義市
Chiayi City","109,863 ","127,510 ","119,667 ","117,740 ","119,928 ","117,219 ","77,082 ","73,373 ","113,071 ","133,671 ","113,238 ","127,609 ","1,349,971 ",嘉義市政府
"直轄市及縣(市)級風景特定區
Municipal-level and County-level Scenic Area","七星潭風景區
Chishingtarn Scenic Area","花蓮縣
Hualien County","39,966 ","40,639 ","31,875 ","22,545 ","20,879 ","26,402 ","24,673 ","26,960 ","23,113 ","24,471 ","31,714 ","33,326 ","346,563 ",花蓮縣政府
"直轄市及縣(市)級風景特定區
Municipal-level and County-level Scenic Area","台東森林公園
Taitung Forest Park","臺東縣
Taitung County","17,956 ","22,322 ","36,440 ","83,766 ","9,459 ","8,655 ","8,899 ","11,812 ","10,245 ","10,979 ","11,263 ","17,614 ","249,410 ",臺東縣政府
"森林遊樂區
Forest Recreation Areas","滿月圓國家森林遊樂區
Manyueyuan National Forest Recreation Area","新北市
New Taipei City","11,171 ","17,450 ","13,900 ","10,063 ","14,503 ","20,424 ","25,237 ","23,713 ","19,837 ","18,453 ","12,397 ","15,614 ","202,762 ",農業部林業及自然保育署
"森林遊樂區
Forest Recreation Areas","內洞國家森林遊樂區
Neidong National Forest Recreation Area","新北市
New Taipei City","10,755 ","16,445 ","13,660 ","8,306 ","11,471 ","12,127 ","17,085 ","15,913 ","13,579 ","11,399 ","7,710 ","10,750 ","149,200 ",農業部林業及自然保育署
"森林遊樂區
Forest Recreation Areas","東眼山國家森林遊樂區
Dongyanshan National Forest Recreation Area","桃園市
Taoyuan City","10,107 ","13,988 ","10,039 ","7,428 ","11,391 ","20,164 ","25,471 ","24,880 ","18,056 ","15,065 ","8,408 ","10,674 ","175,671 ",農業部林業及自然保育署
"森林遊樂區
Forest Recreation Areas","萬瑞森林樂園
Wanjui Forest Recreational Area","新竹縣
Hsinchu County","1,771 ","3,396 ","4,073 ","6,576 ","1,679 ","2,351 ","3,836 ","2,626 ","5,458 ","5,932 ","3,758 ","7,997 ","49,453 ",新竹縣政府
"森林遊樂區
Forest Recreation Areas","太平山國家森林遊樂區
Taipingshan National Forest Recreation Area","宜蘭縣
Yilan County","40,769 ","41,295 ","28,451 ","16,715 ","18,216 ","27,690 ","32,599 ","34,814 ","27,416 ","25,701 ","25,057 ","40,571 ","359,294 ",農業部林業及自然保育署
"森林遊樂區
Forest Recreation Areas","棲蘭森林遊樂區
Cilan Forest Recreation Area","宜蘭縣
Yilan County","3,569 ","7,484 ","4,077 ","3,539 ","2,828 ","4,446 ","4,715 ","5,704 ","4,339 ","4,384 ","3,735 ","4,543 ","53,363 ",國軍退除役官兵輔導委員會
"森林遊樂區
Forest Recreation Areas","明池森林遊樂區
Mingchih Forest Recreation Area","宜蘭縣
Yilan County","4,665 ","8,171 ","5,043 ","4,912 ","5,726 ","6,191 ","8,316 ","7,551 ","5,327 ","4,482 ","5,651 ","7,167 ","73,202 ",國軍退除役官兵輔導委員會
"森林遊樂區
Forest Recreation Areas","八仙山國家森林遊樂區
Basianshan National Forest Recreation Area","臺中市
Taichung City","9,443 ","12,052 ","8,113 ","6,961 ","7,401 ","9,438 ","12,972 ","10,891 ","11,580 ","11,457 ","10,759 ","12,459 ","123,526 ",農業部林業及自然保育署
"森林遊樂區
Forest Recreation Areas","大雪山國家森林遊樂區
Dasyueshan National Forest Recreation Area","臺中市
Taichung City","7,963 ","7,939 ","6,504 ","5,431 ","7,287 ","14,628 ","25,121 ","17,792 ","12,687 ","11,166 ","10,400 ","14,468 ","141,386 ",農業部林業及自然保育署
"森林遊樂區
Forest Recreation Areas","奧萬大國家森林遊樂區
Aowanda National Forest Recreation Area","南投縣
Nantou County",390 ,"5,355 ","2,338 ","1,322 ","1,057 ","1,071 ","1,638 ","1,468 ","1,753 ","3,447 ","12,822 ","23,292 ","55,953 ",農業部林業及自然保育署
"森林遊樂區
Forest Recreation Areas","惠蓀林場
Huisun Forest Recreation Area","南投縣
Nantou County","6,659 ","10,151 ","7,286 ","5,440 ","7,058 ","8,494 ","8,810 ","8,542 ","9,473 ","10,211 ","10,726 ","8,499 ","101,349 ",南投縣政府
"森林遊樂區
Forest Recreation Areas","溪頭自然教育園區
Xitou Nature Education Area","南投縣
Nantou County","89,371 ","75,058 ","103,630 ","96,497 ","114,419 ","134,030 ","153,114 ","151,540 ","144,848 ","124,365 ","126,465 ","117,776 ","1,431,113 ",南投縣政府
"森林遊樂區
Forest Recreation Areas","阿里山國家森林遊樂區
Alishan National Forest Recreation Area","嘉義縣
Chiayi County","65,083 ","83,494 ","138,181 ","71,228 ","50,443 ","64,003 ","68,691 ","53,772 ","60,633 ","69,475 ","74,978 ","99,385 ","899,366 ",農業部林業及自然保育署
"森林遊樂區
Forest Recreation Areas","墾丁國家森林遊樂區
Kenting National Forest Recreation Area","屏東縣
Pingtung County","12,230 ","16,397 ","13,432 ","13,915 ","9,123 ","11,658 ","11,021 ","10,234 ","9,354 ","12,323 ","14,116 ","15,604 ","149,407 ",農業部林業及自然保育署
"森林遊樂區
Forest Recreation Areas","雙流國家森林遊樂區
Shuangliu National Forest Recreation Area","屏東縣
Pingtung County","10,100 ","11,760 ","11,316 ","10,526 ","8,459 ","11,775 ","9,843 ","10,018 ","10,031 ","10,960 ","13,938 ","15,925 ","134,651 ",農業部林業及自然保育署
"森林遊樂區
Forest Recreation Areas","池南國家森林遊樂區
Chihnan National Forest Recreation Area","花蓮縣
Hualien County","2,759 ","3,482 ","2,829 ","1,452 ","1,105 ","1,330 ","1,487 ","1,934 ","1,832 ","2,105 ","3,637 ","4,005 ","27,957 ",農業部林業及自然保育署
"森林遊樂區
Forest Recreation Areas","富源國家森林遊樂區
Fuyuan National Forest Recreation Area","花蓮縣
Hualien County","7,259 ","8,489 ","6,605 ","1,485 ","1,311 ","2,122 ","1,692 ","1,390 ","1,585 ","2,404 ","2,691 ","7,614 ","44,647 ",農業部林業及自然保育署
"森林遊樂區
Forest Recreation Areas","合歡山國家森林遊樂區
Hehuanshan National Forest Recreation Area","花蓮縣
Hualien County","1,960 ","2,013 ","2,155 ","1,247 ","2,125 ","1,788 ","1,762 ","1,929 ","1,134 ","2,140 ","1,683 ","2,458 ","22,394 ",農業部林業及自然保育署
"森林遊樂區
Forest Recreation Areas","知本國家森林遊樂區
Jhihben National Forest Recreation Area","臺東縣
Taitung County","17,081 ","18,342 ","12,514 ","12,203 ","8,640 ","8,541 ","7,765 ","8,931 ","9,186 ","2,220 ","14,408 ","17,121 ","136,952 ",農業部林業及自然保育署
"休閒農業區及休閒農場
Leisure Agriculture Areas and Leisure Farm","觀音蓮花園休閒農業區
Lotus Park Leisure Agriculture Area","桃園市
Taoyuan City","198,459 ","193,378 ","192,523 ","183,947 ","200,509 ","197,360 ","217,746 ","195,814 ","171,908 ","172,116 ","175,397 ","170,644 ","2,269,801 ",桃園市政府
"休閒農業區及休閒農場
Leisure Agriculture Areas and Leisure Farm","大溪月眉休閒農業區
YaMay Leisure Agriculture Area","桃園市
Taoyuan City","228,774 ","191,670 ","192,166 ","146,261 ","151,853 ","135,255 ","109,784 ","116,055 ","123,063 ","143,416 ","205,164 ","231,756 ","1,975,217 ",桃園市政府
"休閒農業區及休閒農場
Leisure Agriculture Areas and Leisure Farm","綠世界休閒農場
Green World","新竹縣
Hsinchu County","26,170 ","45,700 ","32,250 ","36,600 ","28,950 ","27,500 ","21,950 ","26,180 ","21,100 ","30,000 ","32,160 ","34,750 ","363,310 ",新竹縣政府
"休閒農業區及休閒農場
Leisure Agriculture Areas and Leisure Farm","南園人文客棧
The One","新竹縣
Hsinchu County",315 ,588 ,669 ,519 ,673 ,464 ,316 ,660 ,826 ,440 ,"1,017 ","1,004 ","7,491 ",新竹縣政府
"休閒農業區及休閒農場
Leisure Agriculture Areas and Leisure Farm","飛牛牧場
Flying Cow Ranch","苗栗縣
Miaoli County","13,823 ","23,896 ","16,930 ","18,953 ","13,001 ","10,688 ","8,773 ","11,037 ","10,736 ","17,131 ","21,127 ","17,504 ","183,599 ",苗栗縣政府
"休閒農業區及休閒農場
Leisure Agriculture Areas and Leisure Farm","走馬瀨農場
Tsou-Ma-Lai Farm","臺南市
Tainan City","9,983 ","18,664 ","15,875 ","14,879 ","10,465 ","11,964 ","11,823 ","19,114 ","11,876 ","10,894 ","18,984 ","17,455 ","171,976 ",西拉雅國家風景區管理處
"觀光地區
Tourist Areas","清水地熱公園
Qingshui Geothermal Park","宜蘭縣
Yilan County","79,982 ","93,758 ","67,567 ","49,296 ","41,295 ","17,073 ","37,361 ","45,265 ","34,566 ","44,859 ","55,035 ","78,362 ","644,419 ",宜蘭縣政府
"觀光地區
Tourist Areas","舊山線鐵道自行車
Old Mountain Line Rail Bike","苗栗縣
Miaoli County","34,930 ","35,470 ","35,548 ","39,240 ","36,399 ","35,944 ","39,828 ","42,019 ","31,425 ","35,314 ","38,521 ","41,875 ","446,513 ",苗栗縣政府
"觀光地區
Tourist Areas","三義水美木雕街
SANYI SHUEI-MEI WOOD SCULPTURE STREET","苗栗縣
Miaoli County","165,067 ","202,322 ","178,511 ","181,966 ","184,762 ","161,705 ","153,850 ","163,533 ","146,768 ","162,644 ","173,231 ","170,414 ","2,044,773 ",苗栗縣政府
"觀光地區
Tourist Areas","龍鳳漁港
LONGFENG FISHING PORT","苗栗縣
Miaoli County","110,551 ","123,980 ","119,913 ","129,405 ","149,037 ","127,272 ","100,933 ","124,540 ","99,148 ","106,516 ","98,368 ","84,039 ","1,373,702 ",苗栗縣政府
"觀光地區
Tourist Areas","尚順育樂世界
Shang Shun World","苗栗縣
Miaoli County","270,515 ","289,666 ","228,301 ","258,621 ","240,750 ","301,882 ","370,700 ","400,849 ","248,001 ","222,818 ","231,509 ","254,934 ","3,318,546 ",苗栗縣政府
"觀光地區
Tourist Areas","麗寶樂園渡假村
LihPao Resort","臺中市
Taichung City","395,182 ","535,916 ","337,248 ","405,275 ","408,591 ","529,276 ","623,660 ","661,042 ","456,231 ","458,583 ","383,632 ","432,817 ","5,627,453 ",臺中市政府
"觀光地區
Tourist Areas","東勢林場遊樂區
Dongshi Forest Garden","臺中市
Taichung City","9,521 ","18,539 ","10,808 ","43,390 ","13,884 ","10,432 ","8,600 ","8,862 ","9,477 ","10,063 ","12,214 ","12,462 ","168,252 ",臺中市政府
"觀光地區
Tourist Areas","赤嵌園區
Chikan Tower","臺南市
Tainan City","43,373 ","53,957 ","40,826 ","38,249 ","31,534 ","30,224 ","21,776 ","30,664 ","19,068 ","20,221 ","25,287 ","33,278 ","388,457 ",臺南市政府
"觀光地區
Tourist Areas","孔廟園區
Confucius Temple, Tainan","臺南市
Tainan City","21,296 ","26,224 ","19,734 ","19,318 ","15,255 ","15,845 ","18,074 ","22,244 ","11,397 ","14,739 ","17,717 ","20,721 ","222,564 ",臺南市政府
"觀光地區
Tourist Areas","祀典武廟
War God Temple","臺南市
Tainan City","30,361 ","37,770 ","28,578 ","26,774 ","22,074 ","21,157 ","15,243 ","21,465 ","13,348 ","14,155 ","17,701 ","23,295 ","271,921 ",臺南市政府
"觀光地區
Tourist Areas","大天后宮
Great Empress of Heaven Temple","臺南市
Tainan City","34,698 ","43,166 ","32,661 ","30,600 ","25,227 ","24,179 ","17,421 ","24,531 ","15,254 ","16,177 ","20,230 ","26,622 ","310,766 ",臺南市政府
"觀光地區
Tourist Areas","安平
Anping Recreation Area","臺南市
Tainan City","541,944 ","6,377,234 ","2,091,737 ","520,210 ","483,929 ","482,335 ","465,176 ","485,210 ","438,818 ","963,762 ","792,044 ","852,856 ","14,495,255 ",臺南市政府
"觀光地區
Tourist Areas","屏菸1936文化基地
Pingtung 1936 Tobacco Culture Base","屏東縣
Pingtung County","23,248 ","36,068 ","21,806 ","27,704 ","23,248 ","22,265 ","20,949 ","17,027 ","15,362 ","13,486 ","14,210 ","14,527 ","249,900 ",屏東縣政府
"觀光地區
Tourist Areas","豐濱鄉親不知子海上古道及周邊地區
Fengbin Qinbuzhizi ancient trail and surrounding areas","花蓮縣
Hualien County","19,723 ","29,650 ","22,226 ",990 ,0 ,0 ,0 ,0 ,"12,304 ",0 ,"13,266 ","9,333 ","107,492 ",東部海岸國家風景區管理處
"博物館
Museums","國立故宮博物院
National Palace Museum","臺北市
Taipei City","159,124 ","160,560 ","171,660 ","134,904 ","138,863 ","132,141 ","135,498 ","161,104 ","133,433 ","160,396 ","180,629 ","206,682 ","1,874,994 ",臺北市政府
"博物館
Museums","臺北市立美術館
Taipei Fine Arts Museum","臺北市
Taipei City","40,813 ","36,972 ","45,584 ","44,267 ","53,124 ","51,224 ","44,988 ","54,032 ","35,345 ","58,173 ","56,237 ","50,556 ","571,315 ",臺北市政府
"博物館
Museums","國立歷史博物館
National Museum of History","臺北市
Taipei City","106,821 ","7,642 ","16,805 ","20,345 ","40,053 ","19,928 ","19,639 ","19,752 ","9,602 ","12,913 ","17,942 ","15,917 ","307,359 ",臺北市政府
"博物館
Museums","國立臺灣科學教育館
National Taiwan Science Education Center","臺北市
Taipei City","154,697 ","181,223 ","162,113 ","207,857 ","151,561 ","237,310 ","582,179 ","464,781 ","286,324 ","209,710 ","189,353 ","153,273 ","2,980,381 ",臺北市政府
"博物館
Museums","臺北市立天文科學教育館
Taipei Astronomical Museum","臺北市
Taipei City","67,094 ","72,821 ","89,553 ","101,018 ","92,721 ","99,169 ","125,693 ","158,801 ","97,689 ","71,637 ","82,722 ","97,575 ","1,156,493 ",臺北市政府
"博物館
Museums","國立國父紀念館
National Dr. Sun Yat-sen Memorial Hall","臺北市
Taipei City","194,610 ","126,280 ","122,465 ","60,345 ","74,750 ","59,060 ","60,200 ","61,765 ","70,200 ","152,675 ","98,835 ","205,525 ","1,286,710 ",臺北市政府
"博物館
Museums","國立中正紀念堂
National Chiang Kai-shek Memorial Hall","臺北市
Taipei City","327,460 ","358,783 ","410,702 ","326,151 ","302,868 ","224,237 ","263,552 ","303,687 ","274,833 ","313,376 ","363,433 ","571,482 ","4,040,564 ",臺北市政府
"博物館
Museums","台北探索館
Discovery Center of Taipei","臺北市
Taipei City","10,320 ","8,771 ","13,428 ","14,269 ","11,878 ","17,042 ","48,733 ","45,702 ","24,151 ","22,956 ","14,080 ","13,090 ","244,420 ",臺北市政府
